X,Y,OBJECTID,Tyyp,Rataste_arv,Asukoht,Staatus,Linnaosa,GlobalID
662601.420699999,6473596.1232,14089,4,14,4 Mõisavahe,1,1,{2CC491A0-1A7B-4B6D-9179-A1C37D31593B}
660558.123199999,6474176.2324,14090,4,10,9 Papli,1,1,{32139147-B149-4F9F-93FD-7CE6BA544422}
662335.087099999,6473607.7521,14091,4,14,5 Annelinna kiir,1,1,{3A3864AC-29B2-4B28-BBC3-6561C78C6ED1}
658937.049099997,6478574.6854,14206,4,20,95 Hanza/Vahi tööstuspark,1,,{457BCE28-B873-4E29-8151-BEE370AA400C}
659680.140500002,6475319.2621,14210,4,8,94 Tehnikaülikool,1,7,{DCA96775-9118-4497-BDC4-6685ADDA5D9C}
659473.2883,6467043.4905,14211,4,20,96 Ülenurme,1,,{1917C7DA-4CD7-44E4-9B21-E5499707CF40}
658926.860600002,6467822.5349,14212,4,20,97 Tõrvandi,1,,{67D5EE1D-1549-46DE-B019-68DE855FBE4E}
653558.433600001,6467420.2292,14213,4,20,98 Külitse,1,,{EF926AEC-0EC9-4828-B484-D1DE22E05BE2}
653373.9683,6471460.4434,14214,4,20,99 Haage,1,,{69C541F4-8E04-47AA-8EF1-B25A3C3D2A99}
659754.688900001,6476112.0322,14215,4,,100 Kruusamäe,1,7,{68B0866E-C768-4926-952C-E061F23B4D99}
658829.883299999,6478106.056,14224,4,,101 HUUM/Vahi tööstuspark,1,,{C802DB68-AF56-45FF-B404-D4D43DE4B720}
663736.430100001,6473049.7638,14227,4,20,102 Lohkva Spordihoone,1,,{4BEF1D9C-5EA6-4CA7-B977-F0A2A048E2C1}
